total_bill,tip,gender,smoker,day,time,size
1519.46,333.54,Male,No,Sun,Dinner,2
1055.12,143.88,Male,No,Sun,Dinner,2
3313.6,610.4,Male,No,Sun,Dinner,4
1993.61,327,Male,No,Sun,Dinner,2
2423.07,545,Male,No,Sun,Dinner,2
3531.6,654,Male,No,Sun,Dinner,4
3111.95,223.45,Male,No,Sun,Dinner,3
1966.36,327,Male,No,Sun,Dinner,2
1366.86,272.5,Male,No,Sun,Dinner,2
1121.61,283.4,Female,No,Sun,Dinner,2
3794.29,566.8,Female,No,Sun,Dinner,4
1083.46,170.04,Male,No,Sun,Dinner,2
2786.04,473.06,Male,No,Sun,Dinner,4
2124.41,382.59,Male,No,Sun,Dinner,2
4143.09,327,Male,Yes,Sat,Dinner,4
2878.69,163.5,Female,No,Sat,Dinner,2
1225.16,191.84,Male,Yes,Sat,Dinner,2
5261.43,733.57,Male,No,Sat,Dinner,4
2211.61,349.89,Male,Yes,Sat,Dinner,2
1505.29,218,Male,Yes,Sat,Dinner,2
1201.18,215.82,Male,Yes,Sat,Dinner,2
1993.61,409.84,Male,Yes,Sat,Dinner,4
1917.31,287.76,Male,No,Sat,Dinner,3
2188.72,343.35,Male,No,Sat,Dinner,3
1793.05,269.23,Female,No,Sat,Dinner,2
334.63,109,Female,Yes,Sat,Dinner,1
2205.07,219.09,Male,No,Sat,Dinner,2
1636.09,227.81,Male,Yes,Sat,Dinner,2
1310.18,214.73,Male,No,Sat,Dinner,2
1860.63,327,Female,No,Sat,Dinner,3
2927.74,342.26,Female,Yes,Sat,Dinner,2
2755.52,545,Female,Yes,Sat,Dinner,2
1605.57,239.8,Female,No,Sat,Dinner,2
1145.59,136.25,Male,No,Sat,Dinner,2
1953.28,335.72,Male,Yes,Sat,Dinner,2
2964.8,436,Male,No,Thur,Lunch,4
2480.84,327,Male,No,Thur,Lunch,2
1884.61,295.39,Male,No,Thur,Lunch,2
2118.96,327,Male,Yes,Thur,Lunch,2
1815.94,370.6,Male,No,Thur,Lunch,2
1097.63,199.47,Female,No,Thur,Lunch,1
3562.12,545,Male,Yes,Thur,Lunch,2
1741.82,221.27,Male,No,Thur,Lunch,2
3796.47,563.53,Female,No,Thur,Lunch,4
1420.27,218,Male,No,Thur,Lunch,2
1992.52,436,Male,No,Thur,Lunch,2
2693.39,637.65,Male,No,Thur,Lunch,2
2306.44,327,Male,No,Thur,Lunch,2
3157.73,327,Male,Yes,Fri,Dinner,2
2451.41,381.5,Male,No,Fri,Dinner,2
626.75,109,Female,Yes,Fri,Dinner,2
1778.88,468.7,Female,Yes,Fri,Dinner,2
2479.75,354.25,Female,No,Fri,Dinner,2
4378.53,515.57,Male,Yes,Fri,Dinner,4
2973.52,436,Male,Yes,Fri,Dinner,2
1311.27,163.5,Male,Yes,Fri,Dinner,2
2290.09,327,Male,Yes,Fri,Dinner,2
1358.14,163.5,Male,No,Fri,Dinner,2
1237.15,272.5,Female,Yes,Fri,Dinner,2
1676.42,327,Female,Yes,Fri,Dinner,2
4828.7,272.5,Female,Yes,Sat,Dinner,3
2443.78,379.32,Female,Yes,Sat,Dinner,2
2280.28,444.72,Female,No,Sat,Dinner,2
1674.24,178.76,Male,Yes,Sat,Dinner,2
2233.41,442.54,Male,Yes,Sat,Dinner,2
2747.89,467.61,Male,Yes,Sat,Dinner,2
1988.16,409.84,Male,No,Sat,Dinner,2
1559.79,436,Female,Yes,Sat,Dinner,2
1526,327,Male,No,Sat,Dinner,2
790.25,109,Female,No,Sat,Dinner,1
4149.63,436,Male,No,Sun,Dinner,3
2610.55,277.95,Male,No,Sun,Dinner,2
2802.39,436,Female,No,Sun,Dinner,3
1886.79,381.5,Female,No,Sun,Dinner,2
3262.37,552.63,Male,No,Sun,Dinner,4
1160.85,163.5,Female,No,Thur,Lunch,2
1354.87,196.2,Female,No,Thur,Lunch,2
2624.72,318.28,Female,No,Thur,Lunch,4
1274.21,251.79,Male,No,Thur,Lunch,2
1462.78,183.12,Female,No,Thur,Lunch,2
1554.34,272.5,Male,No,Thur,Lunch,2
1738.55,218,Male,No,Thur,Lunch,2
1360.32,274.68,Female,No,Thur,Lunch,2
3248.2,457.8,Female,No,Thur,Lunch,6
928.68,161.32,Male,No,Thur,Lunch,2
1582.68,218,Female,No,Thur,Lunch,2
1240.42,218,Female,No,Thur,Lunch,2
2487.38,237.62,Male,No,Thur,Lunch,3
2079.72,163.5,Male,No,Thur,Lunch,2
2209.43,308.47,Female,No,Thur,Lunch,2
1217.53,163.5,Female,No,Thur,Lunch,2
1336.34,218,Female,No,Thur,Lunch,2
1990.34,354.25,Female,No,Thur,Lunch,2
927.59,136.25,Female,No,Thur,Lunch,2
1125.97,218,Female,No,Thur,Lunch,2
1542.35,218,Female,No,Thur,Lunch,2
1744,218,Male,Yes,Thur,Lunch,2
1434.44,299.75,Female,No,Thur,Lunch,2
1904.23,381.5,Female,No,Thur,Lunch,2
3738.7,730.3,Male,No,Thur,Lunch,6
4489.71,545,Male,No,Thur,Lunch,5
2948.45,545,Female,No,Thur,Lunch,6
1790.87,250.7,Female,No,Thur,Lunch,2
910.15,163.5,Female,No,Thur,Lunch,2
2031.76,148.24,Female,No,Thur,Lunch,3
1293.83,177.67,Female,No,Thur,Lunch,2
1066.02,188.57,Male,No,Thur,Lunch,2
818.59,218,Male,No,Thur,Lunch,2
1533.63,272.5,Male,No,Sun,Dinner,2
1431.17,218,Male,No,Sun,Dinner,2
1881.34,298.66,Male,No,Sun,Dinner,3
2675.95,218,Male,No,Sun,Dinner,4
2154.93,218,Male,No,Sun,Dinner,4
3253.65,560.26,Female,No,Sun,Dinner,5
5250.53,545,Male,No,Sun,Dinner,6
2725,408.75,Female,No,Sun,Dinner,4
1459.51,284.49,Female,No,Sun,Dinner,2
1797.41,218,Male,No,Sun,Dinner,4
2343.5,381.5,Male,No,Sun,Dinner,4
1379.94,272.5,Male,No,Sun,Dinner,2
1766.89,218,Female,No,Sun,Dinner,3
1505.29,218,Male,No,Sun,Dinner,2
1908.59,327,Female,Yes,Sun,Dinner,2
2672.68,379.32,Male,No,Sun,Dinner,3
2262.84,244.16,Male,No,Sun,Dinner,2
3456.39,490.5,Male,No,Sun,Dinner,4
1154.31,175.49,Female,Yes,Sat,Dinner,2
1158.67,218,Female,Yes,Sat,Dinner,2
5538.29,1090,Male,Yes,Sat,Dinner,3
1723.29,344.44,Male,Yes,Sat,Dinner,2
790.25,561.35,Male,Yes,Sun,Dinner,2
3471.65,346.62,Male,Yes,Sun,Dinner,2
1833.38,436,Male,Yes,Sun,Dinner,2
3586.1,338.99,Male,Yes,Sun,Dinner,2
1950.01,218,Male,Yes,Sun,Dinner,2
1578.32,218,Male,Yes,Sun,Dinner,2
1046.4,436,Female,Yes,Sun,Dinner,2
3774.67,386.95,Male,Yes,Sun,Dinner,2
3776.85,401.12,Male,Yes,Sun,Dinner,4
2542.97,615.85,Male,Yes,Sun,Dinner,2
4943.15,381.5,Male,Yes,Sun,Dinner,3
2525.53,708.5,Male,Yes,Sun,Dinner,4
4419.95,327,Male,Yes,Sun,Dinner,2
2255.21,545,Male,No,Sun,Dinner,5
2278.1,381.5,Female,Yes,Sun,Dinner,3
3320.14,218,Male,Yes,Sun,Dinner,5
1978.35,381.5,Female,Yes,Sun,Dinner,3
2517.9,436,Male,Yes,Sun,Dinner,3
1710.21,163.5,Male,Yes,Sun,Dinner,2
2159.29,456.71,Female,Yes,Thur,Lunch,2
3099.96,279.04,Male,Yes,Thur,Lunch,2
1687.32,220.18,Male,Yes,Thur,Lunch,2
1807.22,436,Male,Yes,Thur,Lunch,2
824.04,156.96,Male,No,Thur,Lunch,2
1127.06,218,Male,Yes,Thur,Lunch,2
4698.99,545,Female,Yes,Thur,Lunch,4
1417,218,Female,Yes,Thur,Lunch,2
1472.59,218,Male,Yes,Thur,Lunch,2
2039.39,436,Male,Yes,Thur,Lunch,3
1388.66,219.09,Female,Yes,Thur,Lunch,2
1417,218,Female,Yes,Thur,Lunch,2
1787.6,272.5,Female,Yes,Thur,Lunch,2
2237.77,436,Male,Yes,Thur,Lunch,4
1795.23,352.07,Female,Yes,Thur,Lunch,3
2898.31,371.69,Male,Yes,Sat,Dinner,3
4221.57,327,Male,Yes,Sat,Dinner,4
2645.43,221.27,Male,Yes,Sat,Dinner,2
1390.84,243.07,Female,Yes,Sat,Dinner,2
3276.54,218,Male,Yes,Sat,Dinner,3
2822.01,562.44,Male,Yes,Sat,Dinner,4
5267.97,981,Male,No,Sat,Dinner,4
1446.43,272.5,Female,Yes,Sat,Dinner,2
3070.53,708.5,Female,Yes,Sat,Dinner,3
1406.1,119.9,Female,Yes,Sat,Dinner,2
3068.35,327,Male,Yes,Sat,Dinner,5
1263.31,163.5,Male,Yes,Sat,Dinner,2
843.66,156.96,Male,Yes,Sat,Dinner,2
3285.26,336.81,Female,Yes,Sat,Dinner,4
1325.44,239.8,Male,Yes,Fri,Lunch,2
1462.78,379.32,Female,Yes,Fri,Lunch,2
935.22,209.28,Male,Yes,Fri,Lunch,1
1741.82,327,Female,No,Fri,Lunch,3
1462.78,172.22,Male,Yes,Fri,Lunch,2
1773.43,272.5,Female,Yes,Fri,Lunch,2
1099.81,218,Female,Yes,Fri,Lunch,2
2229.05,327,Male,No,Sat,Dinner,4
1447.52,296.48,Male,No,Sat,Dinner,2
2411.08,313.92,Female,Yes,Sat,Dinner,2
2617.09,218,Male,Yes,Sat,Dinner,4
1710.21,327,Male,Yes,Sat,Dinner,3
1265.49,369.51,Male,No,Sat,Dinner,2
1173.93,160.23,Male,No,Sat,Dinner,2
1692.77,327,Male,Yes,Sat,Dinner,2
1097.63,136.25,Male,No,Sat,Dinner,2
1373.4,109,Male,Yes,Sat,Dinner,2
3578.47,127.53,Male,Yes,Sat,Dinner,2
3905.47,509.03,Female,No,Sat,Dinner,3
3164.27,645.28,Male,No,Sat,Dinner,3
2962.62,218,Female,Yes,Sat,Dinner,2
2471.03,218,Male,Yes,Sat,Dinner,2
1942.38,190.75,Male,No,Sat,Dinner,2
2047.02,327,Female,No,Thur,Dinner,2
